id,Name,Author,User Rating,Reviews,Price,Year,Genre,gb_categories,gb_avgRating,gb_ratingsCount,gb_publisher,gb_publishedDate,gb_pageCount,gb_language
129,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,Non Fiction,Business & Economics,,,HarperCollins Leadership,2019-03-05,242.0,en
130,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018,Non Fiction,Family & Relationships,,,,2019-07-05,74.0,en
131,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019,Non Fiction,Family & Relationships,,,,2019-07-05,74.0,en
132,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,2009,Non Fiction,Political Science,4.0,24.0,Simon and Schuster,2009-06-16,193.0,en
133,Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Fiction,Fiction,5.0,1.0,Harper,2015-07-14,288.0,en
134,Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,Fiction,,,,,,,
135,Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,Non Fiction,Biography & Autobiography,3.0,8.0,Harper Collins,2009-12-05,436.0,en
136,Gone Girl,Gillian Flynn,4.0,57271,10,2012,Fiction,Fiction,3.5,159.0,Ballantine Books,2012-06-05,497.0,en
137,Gone Girl,Gillian Flynn,4.0,57271,10,2013,Fiction,Fiction,3.5,159.0,Ballantine Books,2012-06-05,497.0,en
138,Gone Girl,Gillian Flynn,4.0,57271,9,2014,Fiction,Fiction,3.5,159.0,Ballantine Books,2012-06-05,497.0,en
139,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction,,,,,,,
140,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,Non Fiction,Business & Economics,4.0,4.0,Harper Collins,2001-10-16,320.0,en
141,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010,Non Fiction,Business & Economics,4.0,4.0,Harper Collins,2001-10-16,320.0,en
142,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011,Non Fiction,Business & Economics,4.0,4.0,Harper Collins,2001-10-16,320.0,en
143,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction,Business & Economics,4.0,4.0,Harper Collins,2001-10-16,320.0,en
144,Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,Fiction,Bedtime,,,,2010,0.0,en
145,Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2018,Fiction,Bedtime,,,,2010,0.0,en
146,Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019,Fiction,Bedtime,,,,2010,0.0,en
147,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,Fiction,,,,,,,
148,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction,,,,,,,
149,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,Non Fiction,,,,,,,
150,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction,,,,,,,
